Time,Lat,Lon,scPDSI
1037,46.75,16,-3.412
1037,45.25,16.5,-2.978
1037,45.75,16.5,-4.951
1037,46.25,16.5,-3.149
1037,46.75,16.5,-0.954
1038,45.25,15.5,0.031
1038,45.75,15.5,-0.428
1038,46.25,15.5,-2.474
1038,46.75,15.5,0.934
1038,45.25,16,-0.827
1038,45.75,16,-2.325
1038,46.25,16,-1.995
1038,46.75,16,-0.836
1038,45.25,16.5,-1.643
1038,45.75,16.5,-2.091
1038,46.25,16.5,-1.219
1038,46.75,16.5,-1.386
1039,45.25,15.5,2.233
1039,45.75,15.5,1.134
1039,46.25,15.5,0.511
1039,46.75,15.5,-0.628
1039,45.25,16,1.214
1039,45.75,16,-1.422
1039,46.25,16,-1.001
1039,46.75,16,-0.422
1039,45.25,16.5,-1.228
1039,45.75,16.5,1.148
1039,46.25,16.5,-1.972
1039,46.75,16.5,-0.735
1040,45.25,15.5,2.431
1040,45.75,15.5,2.203
1040,46.25,15.5,1.944
1040,46.75,15.5,1.111
1040,45.25,16,-0.473
1040,45.75,16,-0.369
1040,46.25,16,-1.745
1040,46.75,16,-0.458
1040,45.25,16.5,0.272
1040,45.75,16.5,0.212
1040,46.25,16.5,-2.465
1040,46.75,16.5,0.1
1041,45.25,15.5,0.827
1041,45.75,15.5,-1.242
1041,46.25,15.5,-1.848
1041,46.75,15.5,0.623
1041,45.25,16,-0.234
1041,45.75,16,-2.998
1041,46.25,16,-2.35
1041,46.75,16,-1.199
1041,45.25,16.5,-0.119
1041,45.75,16.5,-0.275
1041,46.25,16.5,-1.259
1041,46.75,16.5,-0.386
1042,45.25,15.5,1.842
1042,45.75,15.5,-1.053
1042,46.25,15.5,-2.891
1042,46.75,15.5,-0.587
1042,45.25,16,1.21
1042,45.75,16,-3.427
1042,46.25,16,-2.254
1042,46.75,16,-0.714
1042,45.25,16.5,1.412
1042,45.75,16.5,1.428
1042,46.25,16.5,-0.959
1042,46.75,16.5,-1.813
1043,45.25,15.5,-0.08
1043,45.75,15.5,-0.912
1043,46.25,15.5,-0.344
1043,46.75,15.5,4.586
1043,45.25,16,-3.109
1043,45.75,16,-5.007
1043,46.25,16,-2.249
1043,46.75,16,-0.469
1043,45.25,16.5,0.001
1043,45.75,16.5,-3.768
1043,46.25,16.5,-2.447
1043,46.75,16.5,0.444
1044,45.25,15.5,1.261
1044,45.75,15.5,-0.45
1044,46.25,15.5,-1.182
1044,46.75,15.5,-0.231
1044,45.25,16,1.52
1044,45.75,16,-2.897
1044,46.25,16,-0.899
1044,46.75,16,-0.143
1044,45.25,16.5,-0.919
1044,45.75,16.5,0.327
1044,46.25,16.5,-1.787
1044,46.75,16.5,-0.613
1045,45.25,15.5,0.301
1045,45.75,15.5,-0.865
1045,46.25,15.5,-1.712
1045,46.75,15.5,0.729
1045,45.25,16,-1.707
1045,45.75,16,-2.327
1045,46.25,16,-1.045
1045,46.75,16,-0.456
1045,45.25,16.5,0.018
1045,45.75,16.5,-2.005
1045,46.25,16.5,-1.889
1045,46.75,16.5,-0.447
1046,45.25,15.5,-4.821
1046,45.75,15.5,-6.673
1046,46.25,15.5,-2.925
1046,46.75,15.5,4.332
1046,45.25,16,-5.901
1046,45.75,16,-5.004
1046,46.25,16,-1.759
1046,46.75,16,-0.978
1046,45.25,16.5,-4.454
1046,45.75,16.5,-5.42
1046,46.25,16.5,-2.702
1046,46.75,16.5,1.418
1047,45.25,15.5,0.133
1047,45.75,15.5,-2.095
1047,46.25,15.5,-2.936
